…Ó∂»,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,W,Pb,Sr,Nb,Zr,Sn,Ba,Th,Rb,Ga,U,Y,In,Mo,Se,Cd,Ag
5080,0.9514,0.7188,2.7679,30.6483,0.0262,0.8142,0.0657,0.4521,5.1902,0.7247,0.0265,0.0071,0.0782,1.3935,0.0004,0.0243,0.0066,0.0098,0.0007,0.0007,0.0033,0.0263,0.0026,0.0062,0.0006,2.1817,0.0015,0.0094,0.0018,0.0003,0.0014,0.0001,0.0001,0,0.0001,0.0001
5082,0.8118,0.7012,2.9541,30.9299,0.0235,0.8479,0.0617,0.468,5.1481,0.6833,0.0251,0.0068,0.0689,1.6112,0.0005,0.0238,0.0075,0.013,0.0011,0.0014,0.0042,0.0274,0.0029,0.0071,0.0006,2.3547,0.0017,0.0094,0.0023,0.0003,0.0014,0,0.0001,0,0.0001,0.0001
5084,0.9241,0.7054,2.917,31.3604,0.024,0.7885,0.0582,0.4593,5.0311,0.6898,0.0253,0.0066,0.058,1.3256,0.0004,0.0238,0.0075,0.0087,0.0011,0.0007,0.0025,0.0257,0.003,0.006,0.0006,2.055,0.0011,0.0092,0.0018,0.0003,0.0013,0,0.0001,0,0.0001,0.0001
5086,0.5792,0.5735,2.7512,29.7618,0.0257,0.8742,0.0673,0.4499,5.2017,0.7429,0.0271,0.0063,0.0668,1.4828,0.0005,0.026,0.0066,0.0176,0.0014,0.0012,0.0039,0.0245,0.0027,0.0059,0.0005,2.0379,0.0019,0.0102,0.0019,0.0003,0.0014,0,0.0001,0,0,0.0001
5088,0.9372,0.6388,2.7399,29.8433,0.0213,0.8735,0.0667,0.451,5.1205,0.7475,0.0272,0.0067,0.0689,1.4717,0.0005,0.0242,0.0072,0.0152,0.0012,0.0008,0.0037,0.0248,0.0026,0.0068,0.0006,2.0463,0.0019,0.0099,0.0018,0.0003,0.0019,0.0001,0.0001,0,0,0.0001
5090,0.3488,0.6477,2.7718,31.1014,0.0207,0.7768,0.0601,0.4361,4.9867,0.7017,0.0257,0.0066,0.0706,1.3532,0.0004,0.0273,0.0073,0.0154,0.0009,0.0009,0.0034,0.0265,0.0025,0.0061,0.0006,2.1675,0.0015,0.0094,0.0016,0.0003,0.0017,0,0.0001,0,0,0.0001
5092,0.758,0.644,2.7699,31.2021,0.022,0.7885,0.0612,0.4459,5.0284,0.6989,0.0256,0.0071,0.0668,1.353,0.0004,0.0258,0.0076,0.0144,0.0013,0.0009,0.0024,0.0275,0.0022,0.0051,0.0006,2.2141,0.0017,0.0091,0.0019,0.0003,0.0013,0,0.0001,0,0,0.0001
5094,0.6034,0.644,2.7739,30.4494,0.0238,1.0596,0.0638,0.4121,5.2533,0.6893,0.0254,0.0061,0.0664,1.7433,0.0006,0.0213,0.0065,0.0127,0.0008,0.0008,0.0035,0.0256,0.0027,0.0065,0.0006,1.9366,0.0017,0.0095,0.0019,0.0003,0.0016,0,0.0001,0,0,0.0001
5096,0.5358,0.7048,2.7955,30.4557,0.0201,1.0562,0.0649,0.4168,5.2312,0.6863,0.0254,0.0065,0.0662,1.7459,0.0006,0.0237,0.0079,0.014,0.0014,0.0007,0.0035,0.0238,0.0026,0.0063,0.0004,1.9445,0.0014,0.0095,0.0015,0.0003,0.0017,0,0.0001,0,0,0.0001
5098,0.7007,0.7383,2.8117,31.4032,0.0221,0.8867,0.0704,0.4243,5.1306,0.796,0.0292,0.0075,0.0815,1.3447,0.0004,0.0247,0.0062,0.0115,0.001,0.0008,0.0032,0.0261,0.0032,0.0068,0.0007,2.337,0.0014,0.0095,0.0017,0.0003,0.0015,0.0001,0.0001,0,0.0001,0.0001
5100,0.2511,0.6911,2.8158,30.2508,0.0251,1.0858,0.0569,0.4242,5.2298,0.7012,0.0259,0.0065,0.0699,1.7587,0.0006,0.0287,0.0073,0.0164,0.0013,0.0008,0.0034,0.0268,0.0021,0.0064,0.0005,2.2961,0.0012,0.0085,0.0017,0.0003,0.0016,0,0.0001,0,0.0001,0.0001
5102,0.6945,0.7807,2.9228,32.1253,0.0214,0.8136,0.0587,0.4472,4.8786,0.6389,0.0235,0.0063,0.0601,1.4287,0.0005,0.027,0.0061,0.0118,0.0012,0.0008,0.0028,0.0252,0.0023,0.0048,0.0005,2.0663,0.0015,0.0095,0.0018,0.0003,0.0013,0,0.0001,0,0,0.0001
5104,0.8991,0.5949,2.7318,31.5933,0.0196,0.8119,0.0602,0.4214,5.1053,0.6817,0.0251,0.0062,0.0627,1.3464,0.0004,0.0227,0.0065,0.0199,0.0008,0.0012,0.0033,0.0263,0.0025,0.0066,0.0007,2.1166,0.0015,0.0091,0.002,0.0003,0.0013,0,0.0001,0,0,0.0001
5106,0.5271,0.7418,2.7263,31.6197,0.0216,0.8421,0.0685,0.4123,5.072,0.769,0.0282,0.0072,0.0668,1.2999,0.0004,0.026,0.0063,0.015,0.0013,0.0008,0.0031,0.0276,0.0028,0.0051,0.0005,2.3532,0.0013,0.0091,0.002,0.0003,0.0013,0,0.0001,0,0,0.0001
5108,0.6674,0.6476,2.8843,31.1178,0.0205,0.7954,0.0544,0.4681,5.1837,0.6675,0.0245,0.0072,0.0636,1.5039,0.0005,0.0263,0.008,0.0174,0.0009,0.0008,0.0031,0.0258,0.0032,0.0068,0.0006,2.2055,0.0013,0.0094,0.0018,0.0003,0.0016,0.0001,0.0001,0,0,0
5110,0.6061,0.7111,2.9306,31.1449,0.0192,0.7968,0.055,0.4639,5.1703,0.6703,0.0246,0.0068,0.0678,1.485,0.0005,0.0255,0.007,0.0183,0.001,0.0011,0.0034,0.0268,0.0026,0.0063,0.0006,2.2108,0.0019,0.0096,0.0017,0.0003,0.0015,0,0.0001,0,0,0.0001
5112,0.6169,0.7529,2.9868,30.8429,0.0231,0.8908,0.0683,0.4664,5.1189,0.6942,0.0255,0.0066,0.0692,1.4773,0.0005,0.0264,0.0075,0.0103,0.0012,0.0008,0.0031,0.0271,0.0032,0.007,0.0005,2.2561,0.0013,0.0096,0.002,0.0003,0.0013,0,0.0001,0,0.0001,0.0001
5114,0.5405,0.6559,2.953,30.8016,0.0215,0.895,0.0694,0.4722,5.1808,0.6898,0.0254,0.0066,0.0696,1.47,0.0005,0.0224,0.0086,0.0094,0.0012,0.001,0.0041,0.0267,0.0029,0.0067,0.0006,2.2504,0.0019,0.0093,0.002,0.0003,0.0015,0,0.0001,0,0.0001,0.0001
5116,0.3234,0.7728,2.9815,30.8817,0.0268,0.8553,0.0709,0.4911,5.3613,0.765,0.0278,0.0062,0.074,1.4226,0.0005,0.0204,0.0075,0.0192,0.0012,0.0006,0.0032,0.0271,0.0032,0.0066,0.0006,2.1698,0.0015,0.0095,0.0022,0.0003,0.0011,0,0.0001,0,0,0
5118,1.0266,0.8957,3.0597,30.9242,0.0222,0.8349,0.06,0.5092,5.3405,0.6759,0.0249,0.0065,0.0625,1.5202,0.0005,0.0262,0.0059,0.0091,0.0009,0.0006,0.0027,0.027,0.0022,0.0063,0.0005,2.1966,0.0016,0.0096,0.0018,0.0003,0.0017,0.0001,0.0001,0,0,0.0001
